"date,ind,rain,ind,temp,ind,wetb,dewpt,vappr,rhum,msl,ind,wdsp,ind,wddir,ww,w,sun,vis,clht,clamt"
"03-mar-2018 17:00,0,0.0,0,1.9,0,1.3,0.3,6.2,89,991.7,2,18,2,90,10,22,0.0,6000,10,8"
"03-mar-2018 18:00,0,0.0,0,1.9,0,1.2,0.1,6.1,87,991.8,2,19,2,80,10,22,0.0,6000,10,8"
"03-mar-2018 19:00,0,0.0,0,1.8,0,1.2,0.1,6.2,89,991.8,2,18,2,80,10,22,0.0,8000,9,8"
"03-mar-2018 20:00,0,0.0,0,1.8,0,1.3,0.5,6.3,91,991.4,2,17,2,90,10,22,0.0,8000,9,8"
"03-mar-2018 21:00,0,0.0,0,1.8,0,1.3,0.4,6.3,91,990.9,2,19,2,90,10,22,0.0,8000,13,8"
"03-mar-2018 22:00,0,0.0,0,1.9,0,1.3,0.4,6.2,89,990.9,2,19,2,90,10,22,0.0,8000,9,8"
"03-mar-2018 23:00,0,0.0,0,1.7,0,1.1,0.1,6.1,89,990.9,2,18,2,100,10,22,0.0,8000,9,8"
"04-mar-2018 00:00,0,0.0,0,1.7,0,1.2,0.4,6.3,91,990.8,2,17,2,90,10,22,0.0,6000,10,8"
"04-mar-2018 01:00,0,0.4,0,1.2,0,0.9,0.5,6.3,94,990.5,2,16,2,90,60,62,0.0,4000,7,8"
"04-mar-2018 02:00,0,0.6,0,1.0,0,0.8,0.4,6.3,96,989.9,2,15,2,90,60,62,0.0,4000,7,8"
"04-mar-2018 03:00,0,0.6,0,1.4,0,1.1,0.6,6.4,94,989.2,2,15,2,90,60,62,0.0,5000,7,8"
"04-mar-2018 04:00,0,0.2,0,1.5,0,1.2,0.6,6.4,94,988.7,2,13,2,90,60,62,0.0,5000,8,8"
"04-mar-2018 05:00,2,0.0,0,1.7,0,1.3,0.6,6.4,93,987.9,2,12,2,90,21,62,0.0,5000,11,8"
"04-mar-2018 06:00,0,0.0,0,1.9,0,1.3,0.4,6.2,89,987.5,2,12,2,80,10,62,0.0,6000,10,8"
"04-mar-2018 07:00,0,0.0,0,2.1,0,1.5,0.6,6.3,89,987.2,2,11,2,80,10,22,0.0,5000,9,8"
"04-mar-2018 08:00,0,0.0,0,2.2,0,1.7,1.0,6.5,91,987.0,2,13,2,80,10,22,0.0,4500,9,8"
"04-mar-2018 09:00,2,0.0,0,2.2,0,1.9,1.3,6.8,95,986.8,2,14,2,80,60,62,0.0,4000,9,8"
"04-mar-2018 10:00,0,0.2,0,2.5,0,2.2,1.7,6.9,95,986.4,2,13,2,80,21,62,0.0,4000,9,8"
"04-mar-2018 11:00,0,0.6,0,2.7,0,2.4,2.0,7.0,95,986.2,2,11,2,80,61,66,0.0,3500,6,8"
"04-mar-2018 12:00,0,1.0,0,3.1,0,3.0,2.8,7.5,98,985.6,2,11,2,80,61,62,0.0,3500,5,8"
"04-mar-2018 13:00,0,0.2,0,3.5,0,3.4,3.2,7.7,98,985.1,2,11,2,70,61,66,0.0,3500,5,8"
"04-mar-2018 14:00,0,0.4,0,3.8,0,3.6,3.4,7.7,97,984.8,2,10,2,80,60,62,0.0,4000,4,8"
"04-mar-2018 15:00,0,0.4,0,3.9,0,3.9,3.8,8.1,100,984.5,2,10,2,80,51,65,0.0,3000,4,8"
