"message","timestamp","unique_key"
"AT&F1E0F1Q1S0=1M0&C0&D0","15/06/2018, 01:23:45","15/06/2018, 01:23:450"
"AT&F1E0F1Q1S0=1M0&C0&D0","15/06/2018, 01:23:48","15/06/2018, 01:23:481"
"KBR, [01:04:04], 23","20/05/2018, 02:07:30","20/05/2018, 02:07:30366"
"DL, [01:01:02:01:02],   0","20/05/2018, 02:07:32","20/05/2018, 02:07:32367"
"DL, [01:01:02:08:01],   0","20/05/2018, 02:07:33","20/05/2018, 02:07:33368"
"DL, [01:01:02:02:04],   0","20/05/2018, 02:07:34","20/05/2018, 02:07:34369"
"DL, [01:01:02:01:01],   0","20/05/2018, 02:07:35","20/05/2018, 02:07:35370"
"DL, [01:01:02:08:01],   0","01/06/2018, 01:37:00","01/06/2018, 01:37:001476"
"DL, [01:01:02:02:04],   0","01/06/2018, 01:37:02","01/06/2018, 01:37:021477"
"DL, [01:01:02:01:01],   0","01/06/2018, 01:37:03","01/06/2018, 01:37:031478"
"KBR, [01:04:01],  4","01/06/2018, 01:37:04","01/06/2018, 01:37:041479"
"KBP, [01:05:15],  1","26/06/2018, 07:14:43","26/06/2018, 07:14:4322"
"DL, [01:01:00:04:03], 100","26/06/2018, 07:14:44","26/06/2018, 07:14:4423"
"DL, [01:01:00:07:04], 100","26/06/2018, 07:14:45","26/06/2018, 07:14:4524"
"DL, [01:01:01:07:04], 100","26/06/2018, 07:14:46","26/06/2018, 07:14:4625"
"KBR, [01:05:15],  1","26/06/2018, 07:14:47","26/06/2018, 07:14:4726"
"KBP, [01:05:14],  1","14/06/2018, 01:18:13","14/06/2018, 01:18:13115"
"DL, [01:01:00:02:03], 100","14/06/2018, 01:18:15","14/06/2018, 01:18:15116"
"DL, [01:01:00:01:01], 100","14/06/2018, 01:18:16","14/06/2018, 01:18:16117"
"KBR, [01:05:14],  1","14/06/2018, 01:18:17","14/06/2018, 01:18:17118"
"DL, [01:01:02:02:01], 100","29/06/2018, 08:26:21","29/06/2018, 08:26:2127"
"DL, [01:01:02:04:04], 100","29/06/2018, 08:26:15","29/06/2018, 08:26:1522"
"KBR, [01:04:11],  1","29/06/2018, 08:26:18","29/06/2018, 08:26:1825"
"DL, [01:01:01:05:02], 100","29/06/2018, 08:26:22","29/06/2018, 08:26:2228"
"DL, [01:01:01:04:01], 100","29/06/2018, 08:26:23","29/06/2018, 08:26:2329"
"DL, [01:01:01:07:02], 100","29/06/2018, 08:26:17","29/06/2018, 08:26:1724"
"KBP, [01:04:11],  4","29/06/2018, 08:26:20","29/06/2018, 08:26:2026"
"DL, [01:01:02:03:02], 100","29/06/2018, 08:26:16","29/06/2018, 08:26:1623"
"KBR, [01:04:11],  4","29/06/2018, 08:26:24","29/06/2018, 08:26:2430"
"DL, [01:01:00:01:01], 100","10/05/2018, 01:30:30","10/05/2018, 01:30:30411"
"DL, [01:01:01:03:02], 100","10/05/2018, 01:30:32","10/05/2018, 01:30:32412"
"KBR, [01:05:14],  1","10/05/2018, 01:30:33","10/05/2018, 01:30:33413"
"KBP, [01:05:14],  5","15/06/2018, 01:06:35","15/06/2018, 01:06:3524"
"AT&F1E0F1Q1S0=1M0&C0&D0","18/06/2018, 04:12:03","18/06/2018, 04:12:030"
"AT&F1E0F1Q1S0=1M0&C0&D0","18/06/2018, 04:12:06","18/06/2018, 04:12:061"
"KBP, [01:04:17],  1","29/04/2018, 01:52:04","29/04/2018, 01:52:04308"
"DL, [01:01:02:06:03], 100","29/04/2018, 01:52:05","29/04/2018, 01:52:05309"
"DL, [01:01:02:08:03], 100","29/04/2018, 01:52:07","29/04/2018, 01:52:07310"
"DL, [01:01:02:06:04], 100","29/04/2018, 01:52:08","29/04/2018, 01:52:08311"
"KBR, [01:04:17],  1","29/04/2018, 01:52:09","29/04/2018, 01:52:09312"
"KBP, [01:04:20],  3","28/06/2018, 06:47:35","28/06/2018, 06:47:354"
"KBP, [01:04","20/05/2018, 02:07:27","20/05/2018, 02:07:27363"
":04], 23","20/05/2018, 02:07:28","20/05/2018, 02:07:28364"
"KBH, [01:04:04], 23","20/05/2018, 02:07:29","20/05/2018, 02:07:29365"
"KBP, [01:04:14],  5","05/05/2018, 01:11:11","05/05/2018, 01:11:1161"
"DL, [01:01:02:08:04],   0","05/05/2018, 01:11:12","05/05/2018, 01:11:1262"
"DL, [01:01:02:07:01],   0","05/05/2018, 01:11:13","05/05/2018, 01:11:1363"
"DL, [01:01:0","05/05/2018, 01:11:15","05/05/2018, 01:11:1564"
"2:07:02],   0","05/05/2018, 01:11:15","05/05/2018, 01:11:1565"
"DL, [01:01:02:05:03],   0","05/05/2018, 01:11:17","05/05/2018, 01:11:1766"
"KBR, [01:04:14],  5","05/05/2018, 01:11:18","05/05/2018, 01:11:1867"
"KBP, [01:04:14],  1","05/05/2018, 01:11:26","05/05/2018, 01:11:2668"
"DL, [01:01:02:08:04], 100","05/05/2018, 01:11:27","05/05/2018, 01:11:2769"
"DL, [01:01:02:07:01], 100","05/05/2018, 01:11:28","05/05/2018, 01:11:2870"
"DL, [01:01:02:07:02], 100","05/05/2018, 01:11:29","05/05/2018, 01:11:2971"
"KBP, [01:04:11],  4","15/05/2018, 01:26:53","15/05/2018, 01:26:5339"
"DL, [0","15/05/2018, 01:26:54","15/05/2018, 01:26:5440"
"1:01:02:02:01],   0","15/05/2018, 01:26:55","15/05/2018, 01:26:5541"
"DL, [01:01:01:05:02],   0","15/05/2018, 01:26:56","15/05/2018, 01:26:5642"
"DL, [01:01:01:04:01],   0","15/05/2018, 01:26:57","15/05/2018, 01:26:5743"
"AT&F1E0F1Q1S0=1M0&C0&D0","15/05/2018, 01:27:25","15/05/2018, 01:27:250"
"AT&F1E0F1Q1S0=1M0&C0&D0","15/05/2018, 01:27:28","15/05/2018, 01:27:281"
"KBP, [01:04:11],  4","14/05/2018, 01:21:51","14/05/2018, 01:21:51176"
"DL, [01:01:02:02:01], 100","14/05/2018, 01:21:52","14/05/2018, 01:21:52177"
"DL, [01:01:01:05:02], 100","14/05/2018, 01:21:53","14/05/2018, 01:21:53178"
"DL, [01:01:01:04:01], 100","14/05/2018, 01:21:54","14/05/2018, 01:21:54179"
"KBP, [01:05:07],  1","03/06/2018, 01:39:41","03/06/2018, 01:39:4191"
"DL, [01:01:01:08:02], 100","03/06/2018, 01:39:43","03/06/2018, 01:39:4392"
"DL, [01:01:00:05:02], 100","03/06/2018, 01:39:44","03/06/2018, 01:39:4493"
"KBR, [01:05:07],  1","03/06/2018, 01:39:45","03/06/2018, 01:39:4594"
"DL, [01:01:00:01:01], 100","24/06/2018, 01:02:59","24/06/2018, 01:02:595"
"KBR, [01:05:14],  1","24/06/2018, 01:03:04","24/06/2018, 01:03:0410"
"DL, [01:01:00:02:03], 100","24/06/2018, 01:03:02","24/06/2018, 01:03:028"
"KBR, [01:05:14],  2","24/06/2018, 01:03:01","24/06/2018, 01:03:017"
"DL, [01:01:00:01:01], 100","24/06/2018, 01:03:03","24/06/2018, 01:03:039"
